,Unnamed: 0,iata_code,id,ident,type,name,latitude_r,longitude_r,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,local_code,home_link,wikipedia_link,keywords,Name,TotalSeats,Country.Name,Airport1Latitude,Airport1Longitude,name_calc,Country_Name
117,117,AUS,3386.0,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542.0,,US,US-TX,Austin,yes,KAUS,AUS,http://www.ci.austin.tx.us/austinairport/,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,,Austin-Bergstrom International Airport,408476.243,United States,30.19449997,-97.66989899,Austin Bergstrom International Airport (AUS),United States
118,118,AVA,300785.0,ZUAS,medium_airport,Anshun Huangguoshu Airport,26.260556,105.873333,4812.0,AS,CN,CN-52,Anshun (Xixiu),yes,ZUAS,,,https://en.wikipedia.org/wiki/Anshun_Huangguoshu_Airport,,Huangguoshu,1291.234,China,26.25720024,105.8728027,Anshun Huangguoshu Airport (AVA),China
119,119,AVB,29443.0,LIPA,medium_airport,Aviano Air Base,46.031898,12.596503,410.0,EU,IT,IT-36,Aviano (PN),no,LIPA,,http://www.aviano.af.mil/,https://en.wikipedia.org/wiki/Aviano_Air_Base,Pagliano e Gori Airport LIYW,Aviano Ab,3093.762,Italy,46.0318985,12.59720039,Aviano Air Base (AVB),Italy
120,120,AVL,3387.0,KAVL,medium_airport,Asheville Regional Airport,35.436199,-82.541801,2165.0,,US,US-NC,Asheville,yes,KAVL,AVL,,https://en.wikipedia.org/wiki/Asheville_Regional_Airport,,Asheville Regional,285.978,United States,35.43500137,-82.54109955,Asheville Regional Airport (AVL),United States
121,121,AVN,4163.0,LFMV,medium_airport,Avignon-Caumont Airport,43.90729904174805,4.901830196380615,124.0,EU,FR,FR-PAC,Avignon/Caumont,yes,LFMV,,,https://en.wikipedia.org/wiki/Avignon_-_Caumont_Airport,,Caumont Airport,2365.818,France,43.90000153,4.900000095,Avignon-Caumont Airport (AVN),France
122,122,AVP,3388.0,KAVP,medium_airport,Wilkes Barre Scranton International Airport,41.3385009766,-75.72339630130001,962.0,,US,US-PA,Wilkes-Barre/Scranton,yes,KAVP,AVP,http://www.flyavp.com/,https://en.wikipedia.org/wiki/Wilkes-Barre/Scranton_International_Airport,,Wilkes-Barre/Scranton International Airport,1161.244,United States,41.33919907,-75.72579956,Wilkes Barre Scranton International Airport (AVP),United States
123,123,AVV,27043.0,YMAV,medium_airport,Avalon Airport,-38.039398,144.468994,35.0,OC,AU,AU-VIC,Lara,yes,YMAV,,https://www.avalonairport.com.au/,https://en.wikipedia.org/wiki/Avalon_Airport,Lara Geelong,Avalon,274434.888,Australia,-38.04079819,144.4680939,Avalon Airport (AVV),Australia
124,124,AWZ,5137.0,OIAW,medium_airport,Lieutenant General Qasem Soleimani International Airport,31.3374,48.762001,66.0,AS,IR,IR-06,Ahvaz,yes,OIAW,,,https://en.wikipedia.org/wiki/Ahvaz_International_Airport,Ahvaz Ahvaz International Airport Ahwaz,Ahwaz,11920.083,Iran,31.33779907,48.75970078,Lieutenant General Qasem Soleimani International Airport (AWZ),Iran
125,125,AXA,6407.0,TQPF,medium_airport,Clayton J Lloyd International Airport,18.204773,-63.05383,127.0,,AI,AI-U-A,The Valley,yes,TQPF,,http://www.news.ai/ref/airport.html,https://en.wikipedia.org/wiki/Clayton_J._Lloyd_International_Airport,Wallblake Airport,Clayton J. Lloyd International,28511.14,Anguilla,18.21030045,-63.05749893,Clayton J Lloyd International Airport (AXA),Anguilla
126,126,AXD,4250.0,LGAL,medium_airport,Alexandroupoli Democritus Airport,40.8559,25.956301,24.0,EU,GR,GR-A,Alexandroupolis,yes,LGAL,,,https://en.wikipedia.org/wiki/Alexandroupoli_Airport,,Dimokritos,1915.186,Greece,40.85583496,25.95638847,Alexandroupoli Democritus Airport (AXD),Greece
127,127,AXM,6099.0,SKAR,medium_airport,El Eden Airport,4.45278,-75.7664,3990.0,SA,CO,CO-QUI,Armenia,yes,SKAR,AXM,,https://en.wikipedia.org/wiki/El_Ed%C3%A9n_Airport,,El Eden International,26249.314,Colombia,4.456399918,-75.76809692,El Eden Airport (AXM),Colombia
128,128,AXT,5611.0,RJSK,medium_airport,Akita Airport,39.615601,140.218994,313.0,AS,JP,JP-05,Akita,yes,RJSK,,,https://en.wikipedia.org/wiki/Akita_Airport,,Akita,6404.174,Japan,39.61569977,140.2169952,Akita Airport (AXT),Japan
129,129,AYT,4515.0,LTAI,large_airport,Antalya International Airport,36.898701,30.800501,177.0,AS,TR,TR-07,Antalya,yes,LTAI,,http://www.antalya.dhmi.gov.tr/havaalanlari/default.aspx?hv=4,https://en.wikipedia.org/wiki/Antalya_Airport,,Antalya,9355601.283,Turkey,36.9056015,30.79059982,Antalya International Airport (AYT),Turkey
130,130,AZA,3617.0,KIWA,medium_airport,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,1382.0,,US,US-AZ,Mesa,yes,KIWA,IWA,http://www.flywga.org/,https://en.wikipedia.org/wiki/Phoenix%E2%80%93Mesa_Gateway_Airport,Williams Air Force Base Williams Gateway Airport,Mesa Gateway Airport,30673.307,United States,33.30780029,-111.6554031,Phoenix–Mesa Gateway Airport (AZA),United States
131,131,AZD,5206.0,OIYY,medium_airport,Shahid Sadooghi Airport,31.9048995972,54.2765007019,4054.0,AS,IR,IR-21,Yazd,yes,OIYY,,,https://en.wikipedia.org/wiki/Shahid_Sadooghi_Airport,,Shahid Sadooghi,2409.148,Iran,31.89780045,54.28170013,Shahid Sadooghi Airport (AZD),Iran
132,132,AZI,5227.0,OMAD,medium_airport,Al Bateen Executive Airport,24.428301,54.458099,16.0,AS,AE,AE-AZ,Abu Dhabi,no,OMAD,,,https://en.wikipedia.org/wiki/Al_Bateen_Executive_Airport,Former Abu Dhabi International Airport,Bateen Airport,6716.15,United Arab Emirates,24.4192009,54.4516983,Al Bateen Executive Airport (AZI),United Arab Emirates
